Timestamp,Give you confidence levels of the statements below: [I can log in to the Rackham remote desktop using the website],Give you confidence levels of the statements below: [I can do basic things in the Rackham remote desktop],Give you confidence levels of the statements below: [I can transfer files to/from Rackham using FileZilla],Give you confidence levels of the statements below: [I can log in to Rackham using a terminal],Give you confidence levels of the statements below: [I can do basic things in the terminal],Give you confidence levels of the statements below: [I can transfer files to/from Rackham using `scp`],Give you confidence levels of the statements below: [I can start an interactive session],Give you confidence levels of the statements below: [I can find and load a module],Give you confidence levels of the statements below: [I can start an IDE],Give you confidence levels of the statements below: [I can start a terminal text editor],Give you confidence levels of the statements below: [I can create a bash script],Give you confidence levels of the statements below: [I can schedule a job],Give you confidence levels of the statements below: [I can conclude which UPPMAX cluster best suits my needs],Give you confidence levels of the statements below: [I can find the hardware specifications of an UPPMAX cluster],Give you confidence levels of the statements below: [I can find where to apply for NAISS resources],Give you confidence levels of the statements below: [I can find other UPPMAX courses],Any feedback?
27/08/2024 13:15:22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
27/08/2024 15:12:52,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Even though I knew most of the material already as I have been using UPPMAX, Day 1 was fun and interactive and I could ask questions and get answers to how/why things work, which was nice! Richèl's teaching way is interesting, refreshing I would say. He is very friendly and positive with the students and addressing the questions/issues. He also makes you think rather than just provide the answer so that there is a discussion and this can help with remembering what you learn. Overall happy with Day 1."
27/08/2024 15:34:54,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,It was a really good introduction for beginner level participants. Great teaching!
27/08/2024 15:37:33,5,5,5,5,5,5,5,5,0,5,5,5,2,0,4,2,
27/08/2024 15:37:58,3,3,3,5,4,3,4,4,0,4,3,3,2,1,1,3,I really liked that the course started with very basic commands and getting to know how to move around in the remote desktop and the terminal. I think that the time to do the exercises was sufficient and if needed we always got help to overcome any errors occuring. The smaller groups made it also easier to help each other and to all manage to be at the same page. 
27/08/2024 15:39:50,5,5,5,5,5,5,5,5,0,5,5,5,2,0,4,1,
27/08/2024 15:40:11,5,5,3,5,5,4,5,5,,5,5,5,,,,,
27/08/2024 15:41:16,5,4,4,5,5,3,5,4,2,5,4,4,4,3,4,4,Thanks a lot for today.
27/08/2024 15:42:37,5,5,5,5,5,3,5,5,2,5,5,5,5,3,3,4,
27/08/2024 15:50:11,0,0,5,5,5,5,5,5,0,5,5,5,4,4,4,5,It was a good course to start using uppmax. The explanations were clear.
27/08/2024 15:52:07,4,4,4,5,5,1,5,3,0,4,4,2,0,0,0,2,
27/08/2024 15:52:10,2,2,0,4,4,0,4,4,0,4,4,4,0,0,3,1,
27/08/2024 15:52:20,5,5,4,5,5,5,5,5,4,5,5,5,0,0,3,3,
27/08/2024 15:52:58,,,3,5,5,3,5,5,3,4,4,4,3,3,3,3,
27/08/2024 15:53:16,5,5,5,5,5,4,5,5,3,5,4,5,2,1,4,4,
27/08/2024 15:54:19,5,4,5,5,5,5,5,5,3,5,5,5,3,3,3,2,
27/08/2024 15:54:28,5,5,2,5,5,0,5,5,0,5,5,5,5,5,1,5,
